feature,status
flow_duration,common
tot_fwd_pkts,common
tot_bwd_pkts,common
totlen_fwd_pkts,common
totlen_bwd_pkts,common
fwd_pkt_len_mean,common
bwd_pkt_len_mean,common
flow_bytes_per_s,common
flow_pkts_per_s,common
flow_iat_mean,common
flow_iat_std,common
fwd_iat_mean,common
bwd_iat_mean,common
avg_pkt_size,common
pkt_len_var,common
pkt_len_std,common
fwd_seg_size_avg,common
bwd_seg_size_avg,common
syn_flag_cnt,common
ack_flag_cnt,common
fin_flag_cnt,common
psh_flag_cnt,common
rst_flag_cnt,common
fwd_bwd_ratio,common
down_up_ratio,common
active_mean,common
idle_mean,common
init_win_fwd,common
init_win_bwd,common
subflow_fwd_pkts,common
subflow_bwd_pkts,common
fwd_header_len,common
bwd_header_len,common
min_pkt_len,common
max_pkt_len,common
pkt_len_median,common
bytes_per_pkt,common
burst_rate,common
urg_flag_cnt,only_A
idle_max,only_A
